Date ,Day of Week,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jun-24,Tuesday,June,Q2,2024,EQ,1447.00,1458.60,1434.05,1430.70,1444.00,1445.00,1443.89,1621.40,703.00,5651898.00,8160735207.70,121761.00
14-Jun-24,Friday,June,Q2,2024,EQ,1409.00,1442.00,1395.45,1404.45,1429.70,1430.70,1425.58,1621.40,703.00,5651491.00,8056635246.35,149880.00
13-Jun-24,Thursday,June,Q2,2024,EQ,1403.60,1411.00,1388.05,1393.95,1404.00,1404.45,1401.02,1621.40,703.00,2839159.00,3977727755.35,117279.00
12-Jun-24,Wednesday,June,Q2,2024,EQ,1411.75,1414.45,1390.60,1403.45,1394.90,1393.95,1401.65,1621.40,703.00,3258265.00,4566936210.75,117720.00
11-Jun-24,Tuesday,June,Q2,2024,EQ,1391.00,1418.80,1384.05,1384.05,1406.00,1403.45,1402.32,1621.40,703.00,4122878.00,5781577228.25,112681.00
10-Jun-24,Monday,June,Q2,2024,EQ,1404.00,1415.35,1381.25,1378.85,1383.90,1384.05,1396.94,1621.40,703.00,4843234.00,6765708500.30,187698.00
07-Jun-24,Friday,June,Q2,2024,EQ,1357.70,1385.00,1355.05,1352.95,1378.00,1378.85,1374.17,1621.40,703.00,5884018.00,8085613692.45,161288.00
06-Jun-24,Thursday,June,Q2,2024,EQ,1384.00,1404.00,1344.80,1354.60,1357.00,1352.95,1370.84,1621.40,703.00,12153840.00,16660920649.10,441222.00
05-Jun-24,Wednesday,June,Q2,2024,EQ,1281.00,1368.00,1160.60,1248.95,1340.00,1354.60,1272.58,1621.40,703.00,20879925.00,26571328175.55,827827.00
04-Jun-24,Tuesday,June,Q2,2024,EQ,1558.00,1558.00,1188.00,1583.95,1245.00,1248.95,1337.42,1621.40,703.00,52109624.00,69692566425.95,1184624.00
03-Jun-24,Monday,June,Q2,2024,EQ,1549.00,1621.40,1535.00,1437.40,1590.00,1583.95,1578.73,1621.40,703.00,23398347.00,36939704359.30,430815.00
